Lat,Lon
40.5056199,-80.2611447
40.5056393,-80.2611207
40.5056566,-80.2610951
40.5056718,-80.2610683
40.5056846,-80.2610402
40.5056951,-80.2610112
40.5057032,-80.2609814
40.5057192,-80.2608682
40.5057312,-80.2607544
40.5057392,-80.2606403
40.5057431,-80.260526
40.505743,-80.2604116
40.5057389,-80.2602973
40.5057393,-80.2602741
40.5057378,-80.2602508
40.5057342,-80.2602278
40.5057286,-80.2602052
40.5057212,-80.2601832
40.5057118,-80.2601618
40.5057007,-80.2601414
40.5056878,-80.260122
40.5056734,-80.2601038
40.5056574,-80.2600868
40.50564,-80.2600714
40.5056213,-80.2600575
40.5056015,-80.2600452
40.5055807,-80.2600347
40.5055591,-80.260026
40.5055368,-80.2600192
40.5055141,-80.2600144
40.505491,-80.2600115
40.5054677,-80.2600107
40.5054444,-80.2600118
40.5053009,-80.2600013
40.5051574,-80.2599894
40.5050141,-80.2599762
40.5049373,-80.2599686
40.5048605,-80.2599606
40.5047838,-80.2599522
40.5047737,-80.259951
40.5047636,-80.2599498
40.5047535,-80.2599486
40.5047434,-80.2599475
40.5047333,-80.2599464
40.5047232,-80.2599452
40.5047011,-80.2599428
40.504679,-80.2599405
40.5046569,-80.2599382
40.5046226,-80.2599348
40.5045883,-80.2599315
40.504554,-80.2599284
40.5045459,-80.2599277
40.5045378,-80.259927
40.5045297,-80.2599263
40.5045022,-80.2599217
40.5044751,-80.2599148
40.5044487,-80.2599056
40.5044232,-80.2598943
40.5043987,-80.2598809
40.5043754,-80.2598654
40.5043535,-80.2598481
40.5043332,-80.259829
40.5043145,-80.2598083
40.5042976,-80.2597862
40.5042827,-80.2597626
40.5042698,-80.259738
40.504259,-80.2597123
40.5042503,-80.2596858
40.5042439,-80.2596587
40.5042398,-80.2596311
40.5042367,-80.2595994
40.5042336,-80.2595676
40.5042307,-80.2595358
40.5042279,-80.259504
40.5042253,-80.2594723
40.5042228,-80.2594405
40.5041833,-80.2577513
40.5041585,-80.2568275
40.5041033,-80.2547769
40.5040078,-80.2520585
40.5040124,-80.2519792
40.5040224,-80.2519004
40.5040377,-80.2518225
40.5040583,-80.2517458
40.5040841,-80.2516706
40.5041149,-80.2515974
40.504136,-80.2515505
40.5041613,-80.2515056
40.5041906,-80.2514633
40.5042237,-80.2514238
40.5042602,-80.2513876
40.5043,-80.2513549
40.5043426,-80.251326
40.5043877,-80.2513011
40.5044349,-80.2512805
40.5044837,-80.2512643
40.5045519,-80.251251
40.5046205,-80.2512399
40.5046893,-80.2512309
40.5047585,-80.251224
40.5048278,-80.2512193
40.5048972,-80.2512167
40.5049081,-80.2512174
40.504919,-80.251217
40.5049298,-80.2512157
40.5049405,-80.2512134
40.5049509,-80.2512101
40.504961,-80.2512059
40.5049706,-80.2512007
40.5049797,-80.2511948
40.5049883,-80.251188
40.5049962,-80.2511804
40.5050034,-80.2511722
40.5050098,-80.2511634
40.5050153,-80.251154
40.50502,-80.2511441
40.5050238,-80.2511339
40.5050266,-80.2511233
40.5050285,-80.2511126
40.5050293,-80.2511017
40.5050292,-80.2510908
40.505028,-80.2510799
40.505016,-80.2509909
40.5050033,-80.250902
40.5049898,-80.2508132
40.5049755,-80.2507245
40.5049605,-80.2506359
40.5049448,-80.2505475
40.504929,-80.2504571
40.5049211,-80.2503656
40.5049211,-80.2502738
40.5049269,-80.2502002
40.5049378,-80.2501271
40.5049538,-80.250055
40.5049596,-80.2500332
40.5049672,-80.2500049
40.5049747,-80.2499766
40.5049821,-80.2499483
40.504988,-80.2499257
40.5049938,-80.2499032
40.5049996,-80.2498806
40.5050013,-80.249874
40.5050029,-80.2498675
40.5050046,-80.249861
40.5050062,-80.2498545
40.5050079,-80.2498479
40.5050095,-80.2498414
40.5050213,-80.2497949
40.505033,-80.2497484
40.5050448,-80.249702
40.50506,-80.2496419
40.5050753,-80.2495818
40.5050905,-80.2495218
40.5051447,-80.2493371
40.5052043,-80.249134
40.5052186,-80.2490812
40.5052204,-80.2490708
40.5052205,-80.2490603
40.5052186,-80.2490499
40.505215,-80.24904
40.5052097,-80.2490309
40.5052029,-80.2490228
40.505199,-80.2490193
40.5051948,-80.2490161
40.5051904,-80.2490132
40.5051857,-80.2490108
40.5051809,-80.2490089
40.5051759,-80.2490073
40.5051707,-80.2490062
40.5051655,-80.2490055
40.5051603,-80.2490053
40.5051551,-80.2490056
40.5051499,-80.2490063
40.5051448,-80.2490074
40.5051398,-80.249009
40.505135,-80.249011
40.5051303,-80.2490134
